LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
6,2023-06-05T11:26:00+10:00,2023-06-05,11:26,6,8,14
29,2023-06-05T11:26:00+10:00,2023-06-05,11:26,2,1,3
31,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,1,1
36,2023-06-05T11:26:00+10:00,2023-06-05,11:26,5,7,12
37,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,3,4
41,2023-06-05T11:26:00+10:00,2023-06-05,11:26,37,19,56
47,2023-06-05T11:26:00+10:00,2023-06-05,11:26,9,9,18
50,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,4,4
66,2023-06-05T11:26:00+10:00,2023-06-05,11:26,5,10,15
70,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,3,4
87,2023-06-05T11:26:00+10:00,2023-06-05,11:26,2,4,6
1,2023-06-05T11:26:00+10:00,2023-06-05,11:26,8,12,20
12,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,1,2
18,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,7,8
19,2023-06-05T11:26:00+10:00,2023-06-05,11:26,2,0,2
57,2023-06-05T11:26:00+10:00,2023-06-05,11:26,4,5,9
58,2023-06-05T11:26:00+10:00,2023-06-05,11:26,11,2,13
62,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,2,2
67,2023-06-05T11:26:00+10:00,2023-06-05,11:26,5,6,11
79,2023-06-05T11:26:00+10:00,2023-06-05,11:26,20,3,23
3,2023-06-05T11:26:00+10:00,2023-06-05,11:26,17,23,40
4,2023-06-05T11:26:00+10:00,2023-06-05,11:26,16,15,31
5,2023-06-05T11:26:00+10:00,2023-06-05,11:26,19,15,34
8,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,1,2
14,2023-06-05T11:26:00+10:00,2023-06-05,11:26,4,2,6
26,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,4,5
28,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,3,6
40,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,10,13
42,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,3,4
44,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,0,3
45,2023-06-05T11:26:00+10:00,2023-06-05,11:26,13,2,15
54,2023-06-05T11:26:00+10:00,2023-06-05,11:26,2,2,4
61,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,6,9
65,2023-06-05T11:26:00+10:00,2023-06-05,11:26,30,0,30
75,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,0,3
77,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,2,3
78,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,1,1
108,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,6,9
9,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,2,2
17,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,4,5
24,2023-06-05T11:26:00+10:00,2023-06-05,11:26,15,4,19
30,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,2,5
48,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,2,3
49,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,2,2
53,2023-06-05T11:26:00+10:00,2023-06-05,11:26,7,1,8
63,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,3,4
72,2023-06-05T11:26:00+10:00,2023-06-05,11:26,3,5,8
21,2023-06-05T11:26:00+10:00,2023-06-05,11:26,7,1,8
39,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,0,1
55,2023-06-05T11:26:00+10:00,2023-06-05,11:26,6,5,11
2,2023-06-05T11:26:00+10:00,2023-06-05,11:26,6,4,10
10,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,2,2
20,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,2,3
23,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,3,4
35,2023-06-05T11:26:00+10:00,2023-06-05,11:26,7,10,17
46,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,5,5
51,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,1,1
52,2023-06-05T11:26:00+10:00,2023-06-05,11:26,9,1,10
56,2023-06-05T11:26:00+10:00,2023-06-05,11:26,9,0,9
68,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,1,2
76,2023-06-05T11:26:00+10:00,2023-06-05,11:26,1,1,2
85,2023-06-05T11:26:00+10:00,2023-06-05,11:26,0,2,2
86,2023-06-05T11:26:00+10:00,2023-06-05,11:26,4,1,5
3,2023-06-05T11:25:00+10:00,2023-06-05,11:25,10,8,18
4,2023-06-05T11:25:00+10:00,2023-06-05,11:25,12,18,30
5,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,10,14
14,2023-06-05T11:25:00+10:00,2023-06-05,11:25,18,0,18
36,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,2,3
37,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,1,2
39,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,1,3
45,2023-06-05T11:25:00+10:00,2023-06-05,11:25,5,5,10
47,2023-06-05T11:25:00+10:00,2023-06-05,11:25,8,7,15
50,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,1,3
54,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,0,1
61,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,8,10
84,2023-06-05T11:25:00+10:00,2023-06-05,11:25,65,45,110
108,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,8,10
2,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,5,9
9,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,2,6
10,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,0,3
11,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,5,6
12,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,0,2
48,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,1,4
56,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,3,7
57,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,4,8
58,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,3,4
68,2023-06-05T11:25:00+10:00,2023-06-05,11:25,6,1,7
72,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,0,3
86,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,3,3
21,2023-06-05T11:25:00+10:00,2023-06-05,11:25,6,3,9
26,2023-06-05T11:25:00+10:00,2023-06-05,11:25,6,8,14
29,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,4,6
41,2023-06-05T11:25:00+10:00,2023-06-05,11:25,35,16,51
55,2023-06-05T11:25:00+10:00,2023-06-05,11:25,7,11,18
59,2023-06-05T11:25:00+10:00,2023-06-05,11:25,27,28,55
65,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,3,6
66,2023-06-05T11:25:00+10:00,2023-06-05,11:25,5,7,12
107,2023-06-05T11:25:00+10:00,2023-06-05,11:25,9,11,20
17,2023-06-05T11:25:00+10:00,2023-06-05,11:25,6,7,13
20,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,6,7
24,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,7,10
30,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,2,4
49,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,2,2
52,2023-06-05T11:25:00+10:00,2023-06-05,11:25,8,11,19
62,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,3,7
63,2023-06-05T11:25:00+10:00,2023-06-05,11:25,7,1,8
67,2023-06-05T11:25:00+10:00,2023-06-05,11:25,19,9,28
76,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,1,1
109,2023-06-05T11:25:00+10:00,2023-06-05,11:25,11,10,21
6,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,7,11
28,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,2,4
31,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,0,1
40,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,1,1
44,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,1,1
69,2023-06-05T11:25:00+10:00,2023-06-05,11:25,4,1,5
75,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,1,2
77,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,1,1
87,2023-06-05T11:25:00+10:00,2023-06-05,11:25,0,3,3
1,2023-06-05T11:25:00+10:00,2023-06-05,11:25,15,7,22
18,2023-06-05T11:25:00+10:00,2023-06-05,11:25,6,3,9
19,2023-06-05T11:25:00+10:00,2023-06-05,11:25,7,5,12
23,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,4,7
27,2023-06-05T11:25:00+10:00,2023-06-05,11:25,2,0,2
35,2023-06-05T11:25:00+10:00,2023-06-05,11:25,8,9,17
46,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,1,2
53,2023-06-05T11:25:00+10:00,2023-06-05,11:25,11,8,19
79,2023-06-05T11:25:00+10:00,2023-06-05,11:25,3,7,10
85,2023-06-05T11:25:00+10:00,2023-06-05,11:25,1,0,1
117,2023-06-05T11:25:00+10:00,2023-06-05,11:25,10,15,25
21,2023-06-05T11:24:00+10:00,2023-06-05,11:24,5,3,8
26,2023-06-05T11:24:00+10:00,2023-06-05,11:24,4,2,6
40,2023-06-05T11:24:00+10:00,2023-06-05,11:24,2,2,4
42,2023-06-05T11:24:00+10:00,2023-06-05,11:24,2,1,3
55,2023-06-05T11:24:00+10:00,2023-06-05,11:24,5,12,17
65,2023-06-05T11:24:00+10:00,2023-06-05,11:24,5,16,21
66,2023-06-05T11:24:00+10:00,2023-06-05,11:24,8,10,18
108,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,4,7
1,2023-06-05T11:24:00+10:00,2023-06-05,11:24,8,9,17
2,2023-06-05T11:24:00+10:00,2023-06-05,11:24,9,11,20
10,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,2,3
30,2023-06-05T11:24:00+10:00,2023-06-05,11:24,2,4,6
35,2023-06-05T11:24:00+10:00,2023-06-05,11:24,10,7,17
48,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,6,7
49,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,1,2
52,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,3,4
53,2023-06-05T11:24:00+10:00,2023-06-05,11:24,11,5,16
58,2023-06-05T11:24:00+10:00,2023-06-05,11:24,8,1,9
62,2023-06-05T11:24:00+10:00,2023-06-05,11:24,0,2,2
67,2023-06-05T11:24:00+10:00,2023-06-05,11:24,11,3,14
68,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,3,6
4,2023-06-05T11:24:00+10:00,2023-06-05,11:24,16,9,25
5,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,6,9
6,2023-06-05T11:24:00+10:00,2023-06-05,11:24,9,12,21
14,2023-06-05T11:24:00+10:00,2023-06-05,11:24,8,0,8
31,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,2,3
44,2023-06-05T11:24:00+10:00,2023-06-05,11:24,0,3,3
54,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,0,1
61,2023-06-05T11:24:00+10:00,2023-06-05,11:24,4,7,11
70,2023-06-05T11:24:00+10:00,2023-06-05,11:24,0,5,5
75,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,2,3
12,2023-06-05T11:24:00+10:00,2023-06-05,11:24,2,6,8
18,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,1,4
20,2023-06-05T11:24:00+10:00,2023-06-05,11:24,2,5,7
23,2023-06-05T11:24:00+10:00,2023-06-05,11:24,4,2,6
51,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,0,1
